"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"JUP",9.2199628807808,9.31090200343746,10.6824742283013,9.78648891317619,8.9076736711678,8.85495591619088,9.8997460462184,8.77204158373901,10.6415704143527,10.5106072359879,9.87639706484132,9.70847076105531,10.6537309054621,7.88899631068865,11.7517136545681,9.25136298570444,9.27059337665832,12.0723738896944,12.1711216934062,8.22002680484337,10.4957613522049,9.62585354056807,9.70557506891231,9.22180173103498,8.69602405784686,11.6397392246766,9.00408615949632,9.01492120672158,8.54002119078278,9.79392824947999,8.60613334001418,9.71973596190613,8.71635649323836,8.11321161286384,9.76602495347582,9.5617626874269,9.38435157766619,9.02118404902477,7.94144714657022,8.11755537829704,8.60744658027109,9.13823641985821,9.12505501021154,8.83563463650756,8.71787414036119,8.85298558677507
"KCNA5",6.88251642249517,7.02319911887061,6.88251642249517,7.17494134175878,6.88251642249517,7.02198274911663,7.04999625546489,6.88251642249517,7.20324898470941,7.1694158801272,6.88251642249517,7.02973485012266,6.88251642249517,6.88251642249517,7.00822886922516,7.0710035497047,6.88251642249517,7.08001897663787,7.1973932994848,7.12722259867981,7.06982397341567,6.88251642249517,6.88251642249517,7.14838306836131,7.08411990838961,6.88251642249517,7.433267023508,7.6961373193304,7.01553307530002,6.88251642249517,6.88251642249517,7.17838755423062,7.11650282344791,6.88251642249517,6.99161092150749,6.88251642249517,6.88251642249517,7.03878406206631,7.19450348748772,7.09853952030792,7.09428934727395,7.01085033621719,6.88251642249517,7.03134754725511,6.88251642249517,6.88251642249517
"KCNB2",6.88251642249517,6.88251642249517,7.02887546223115,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02222630029508,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.98893001332082,7.10054985438054,6.98996093350711,7.00336841381108,6.99304132484168,6.88251642249517,6.88251642249517,7.03232965149577,6.88251642249517,6.88251642249517,6.88251642249517,7.03609233859106,7.01290160221246
"KCNE4",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02618857320042,7.02614332177148,7.02770159063958,7.02973485012266,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99205727042064,6.88251642249517,6.88251642249517,6.88251642249517,6.9911839884206,6.88251642249517,6.88251642249517,6.88251642249517,7.0281973615599,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.07363520252118,6.88251642249517,7.14942513701995,6.98996093350711,7.00336841381108,6.99304132484168,6.88251642249517,7.00731504888788,6.88251642249517,6.88251642249517,6.88251642249517,7.03134754725511,6.88251642249517,7.01290160221246
"KCNG1",6.88251642249517,6.88251642249517,6.88251642249517,7.03901508871227,7.04342014818346,7.02198274911663,7.00097577778185,7.14893732172805,6.88251642249517,7.02614332177148,6.88251642249517,7.02973485012266,7.03141030535337,6.88251642249517,7.00822886922516,6.88251642249517,7.06492637586565,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02770994019145,7.10549487304036,6.9911839884206,7.16739578530597,6.88251642249517,6.88251642249517,7.0281973615599,7.01553307530002,7.05146325442701,7.0955416530648,7.09191188596673,7.11650282344791,7.03297389020179,6.88251642249517,7.14539764727241,7.00336841381108,7.12941664529686,6.88251642249517,6.88251642249517,7.03232965149577,7.06394824594452,7.01831177784575,7.14007166108168,6.88251642249517,7.10819687047203
"KCNH7",7.02132754647573,6.88251642249517,7.02887546223115,6.99320480521288,7.04342014818346,6.88251642249517,6.88251642249517,7.01586875958707,7.02618857320042,6.88251642249517,7.08775280172427,7.17657176789448,6.88251642249517,7.03225473467316,7.00822886922516,6.88251642249517,7.01154266507189,7.02222630029508,6.88251642249517,7.03739340878975,6.88251642249517,6.88251642249517,6.88251642249517,6.9911839884206,7.02512955972127,6.88251642249517,7.03054120406999,7.08845304027549,6.88251642249517,6.88251642249517,6.88251642249517,7.03064629731265,6.88251642249517,6.88251642249517,6.88251642249517,6.98996093350711,6.88251642249517,6.88251642249517,7.02225867516453,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01290160221246
"KCNJ12",7.2489321904285,7.3032393336987,7.17485961463484,6.99320480521288,7.04342014818346,7.19388936217783,7.61462210101585,7.14893732172805,7.169506048924,7.20314829651101,8.78113931517448,8.72972562717291,7.09299093066128,6.88251642249517,7.06024451447365,8.08433555818034,8.15115474476881,7.02222630029508,6.88251642249517,9.82213512313668,7.36424118321749,7.51069331520863,7.44073650360043,7.66421781981558,7.02512955972127,7.0254244185942,7.03054120406999,7.13462951150069,7.01553307530002,7.05146325442701,7.35714484072368,7.17838755423062,7.32927033674574,8.8150602044044,7.07138376385957,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.47780657890434,7.28715015025418,7.26561889887858,7.17978452590307,7.28769900993571,7.33251128713189
"KCNJ3",7.45137779148574,7.08139313128756,6.88251642249517,6.99320480521288,6.99632200645322,6.88251642249517,7.04999625546489,7.01586875958707,7.02618857320042,6.88251642249517,7.6152305551032,7.48538105264193,6.88251642249517,6.88251642249517,6.88251642249517,7.01584430872047,7.01154266507189,6.88251642249517,6.88251642249517,7.17191841647794,7.12421653975697,6.88251642249517,7.01133846323741,7.09969780446446,6.88251642249517,6.88251642249517,7.03054120406999,7.13462951150069,6.88251642249517,7.12130719731741,7.0955416530648,7.03064629731265,7.21306249562642,7.70924941011982,6.88251642249517,6.88251642249517,7.00336841381108,6.88251642249517,6.88251642249517,6.88251642249517,7.09428934727395,7.10465108392363,7.11754772153865,6.88251642249517,6.88251642249517,7.06684626697479
"KCNJ8",7.02132754647573,6.88251642249517,6.88251642249517,6.99320480521288,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03141030535337,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.26516051088327,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517
"KCNK13",6.88251642249517,6.88251642249517,7.17485961463484,7.03901508871227,6.99632200645322,7.07967494498009,6.88251642249517,7.11332545135371,7.08561574305141,7.08555182689731,7.23740066445224,7.21113877334357,7.14018007362608,7.0658665635453,6.88251642249517,6.88251642249517,7.01154266507189,7.12431249461075,7.0818988391142,7.07215575659054,6.99070910142868,7.02770994019145,7.06463787832196,7.0706453437943,7.08411990838961,6.88251642249517,6.88251642249517,7.0281973615599,7.14826808551766,6.88251642249517,7.0955416530648,6.88251642249517,7.07363520252118,7.1202493259907,7.14942513701995,6.88251642249517,6.88251642249517,7.12941664529686,7.43826148966228,7.33081874688471,7.09428934727395,7.10465108392363,7.21453536937382,7.09290229498192,7.09960326487039,7.10819687047203
"KCNQ1",7.07874942231102,7.08139313128756,7.13580102495766,7.28044435401218,7.71513658660829,7.84141276647811,7.61462210101585,7.97250922845709,7.45370462437953,7.37782393519851,7.72958603284155,7.61115892518077,7.03141030535337,7.27762863423118,7.31649679581119,7.11328319123544,7.17064494586332,7.19443143170882,7.02355713349501,7.4377682079302,7.82160514337117,7.02770994019145,6.88251642249517,7.36633703717092,7.28474750939722,7.08453639317515,7.50594588873574,7.55987234109064,7.3018236279112,8.24556964512142,7.03321636310788,8.32561164206528,7.36784033326434,7.20118137122936,7.4030124511175,7.0685299125273,7.12400904542697,7.10340447194421,7.02225867516453,7.13188097222362,7.03232965149577,8.10356837241271,8.1703399179257,7.24627409504653,7.28769900993571,7.38512237901105
"KCNQ2",7.12275941530873,7.3032393336987,7.68728389702758,7.15331527100476,7.30691642319117,7.07967494498009,7.48238215951277,7.14893732172805,7.4172444654286,7.41707780937314,7.26567529004856,7.13728569756104,7.70087463030971,7.1191145379089,7.16326374751231,7.18022424807795,7.14031180333338,7.08001897663787,7.16426225048865,6.99205727042064,7.22393462678142,7.93618041588626,8.01314374913815,7.22542690692574,7.37435866303592,7.08453639317515,7.61506992755953,7.60369827666676,7.32213618360701,7.21983431871976,7.0955416530648,7.24456763069364,7.07363520252118,7.25023133146087,7.14942513701995,7.09725681957213,7.12400904542697,7.48367565779213,7.02225867516453,7.00731504888788,7.09428934727395,7.06394824594452,7.0744892949221,7.27524745409393,7.2578175721174,7.06684626697479
"KCTD15",7.02132754647573,7.02319911887061,6.88251642249517,6.88251642249517,7.18315152563564,7.62561627115709,7.43491554157607,7.66219732500066,7.08561574305141,7.13108070366787,7.08775280172427,7.13728569756104,7.03141030535337,6.98842114981722,7.06024451447365,7.36120912963406,7.49685862341453,7.02222630029508,7.16426225048865,7.27634251260131,7.2715225769696,6.88251642249517,7.01133846323741,7.03615928266531,7.02512955972127,7.0254244185942,7.09176345666682,6.88251642249517,7.07056386657249,6.88251642249517,7.55078311808493,7.03064629731265,7.90009169437352,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.19450348748772,7.09853952030792,7.63809528175848,7.28715015025418,7.26561889887858,7.09290229498192,7.09960326487039,7.85719590637182
