"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"RPL15P13",1,0,0,1,0,0,3,1,2,0,0,0,0,0,4,0,1,0,1,1,2,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"RPL15P14",2,1,0,6,3,2,2,0,1,1,2,1,1,2,2,2,2,1,1,2,4,2,0,2,3,2,1,0,7,1,2,0,1,0,2,2,1,2,0,1,1,0,0,4,1,0
"RPL18AP16",0,1,0,5,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,3,2,1,2,0,2,0,0,0
"RPL18AP2",1,0,1,1,5,0,0,0,2,1,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,1,2,1,1,6,4,1,0,0,0,0,0,1,0
"RPL21P1",0,1,3,3,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,5,3,1,1,1,2,0,1,1,0,2,1
"RPL21P107",0,0,2,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RPL21P131",1,0,1,0,0,0,2,0,0,0,0,0,0,1,2,3,0,0,1,0,1,1,2,1,1,2,0,1,1,0,0,1,2,2,1,0,0,1,0,0,0,0,1,0,0,0
"RPL23AP58",1,0,0,1,2,1,4,1,0,2,0,1,0,0,1,2,1,1,0,1,0,0,0,2,1,1,1,0,0,0,1,1,1,2,3,0,3,0,3,2,1,2,2,0,0,3
"RPL23AP67",0,0,0,0,2,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
"RPL23AP81",0,0,4,1,2,0,3,0,2,2,1,2,1,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,2,0,1,1,0,3,0,1,1,0,1,0
