"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"GPS2P1",6.88251642249517,6.88251642249517,7.02887546223115,7.15331527100476,7.04342014818346,6.88251642249517,7.21691513178196,6.88251642249517,7.169506048924,7.1694158801272,7.08775280172427,7.32265447279239,6.88251642249517,7.03225473467316,7.23730273716243,6.88251642249517,7.01154266507189,7.12431249461075,7.28033709633373,7.1918264081118,7.12421653975697,7.31664108451007,7.42602386010311,7.34172191948898,7.28474750939722,7.37536662502826,7.27313077848078,7.26697710901229,7.14826808551766,7.1748079905264,7.14329987506753,7.2131662557597,6.88251642249517,6.88251642249517,7.2267684271737,6.98996093350711,7.05337705125751,7.12941664529686,7.19450348748772,7.2760660332022,7.2486638304543,6.88251642249517,7.01831177784575,7.21472607351274,7.28769900993571,6.88251642249517
"GRAMD1B",8.2472117045773,8.28271974171664,8.49260295505751,9.27955254530045,9.74503185870785,8.43897431631053,9.80244171089539,8.37127176627992,8.84103562132438,8.9822141942051,8.17051886333219,8.10407764327963,8.55591945216971,7.75540271711691,8.61231567919141,8.02295442091773,7.99468094126127,9.79264830730717,9.9368988368225,7.97868699724893,8.39209206483345,10.4355835012128,10.4452667603,9.04939976776907,9.64198959806723,8.48448727334151,9.89919717731471,9.94436166104991,9.67266831594631,10.0095619457505,9.52688915368128,9.98592250322127,8.27778966452813,8.29626583468303,10.4412336097721,10.6535497377482,10.2520850352815,9.75522686187926,8.6635426213842,8.60465086419219,9.40171091413825,8.33885777748853,8.32790339409659,8.53913580919594,8.52405188031019,8.36516828782091
"GRB14",7.15981869980313,7.08139313128756,7.02887546223115,6.88251642249517,6.88251642249517,6.88251642249517,7.00097577778185,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.98842114981722,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.9911839884206,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517
"GRIA1",7.15981869980313,7.08139313128756,7.29525088966737,7.26492579331467,7.10995102657796,6.88251642249517,7.51552875167866,7.01586875958707,6.88251642249517,6.88251642249517,7.44154944136263,7.41059731068641,7.41654517947659,7.03225473467316,7.06024451447365,7.97972254264921,7.89421302161798,7.02222630029508,7.12661213734363,8.40605092262112,7.06982397341567,7.02770994019145,7.06463787832196,7.22542690692574,7.02512955972127,7.12983858038664,8.5256086023353,8.47490205685302,7.07056386657249,7.25943602862572,7.14329987506753,7.27340666161198,7.48298547297593,8.23267271058369,6.88251642249517,7.23805155027511,7.62909907590562,6.99304132484168,6.88251642249517,7.05895339179514,7.03232965149577,7.37728719076333,7.35103742937679,7.09290229498192,7.03609233859106,7.33251128713189
"GRIA3",8.38479316619532,8.49239624869683,7.4075456878972,7.66360850622619,7.13673042191965,6.88251642249517,7.59598619015136,6.88251642249517,7.08561574305141,7.20314829651101,7.62888770228119,7.691893459558,7.37417805874311,7.60126933940741,7.31649679581119,7.4748204792167,7.49685862341453,7.02222630029508,7.02355713349501,7.65569622514983,7.28611385272421,7.20663397173925,7.24603878712925,7.46390547403311,7.20089251034439,7.46795696398612,7.34878527142891,7.40513742491729,7.14826808551766,7.21983431871976,7.4229543742697,7.27340666161198,7.18437185637201,8.59575067947088,7.4030124511175,7.55607807327379,7.71704408590696,7.39829966728468,7.51799634827896,7.47700136748546,7.39895606548783,7.22138844695142,7.18571786651647,7.17978452590307,7.18923532709784,7.2726156034704
"GRIK1-AS1",7.12275941530873,7.02319911887061,7.13580102495766,7.12978112995417,6.99632200645322,7.07967494498009,7.17227564652435,7.20858345537542,7.169506048924,7.20314829651101,6.88251642249517,7.13728569756104,7.14018007362608,6.88251642249517,7.06024451447365,7.01584430872047,7.10584785791139,7.02222630029508,6.88251642249517,6.88251642249517,7.09875003411434,6.88251642249517,6.88251642249517,6.88251642249517,7.12932911345143,7.16798335297232,6.88251642249517,7.0281973615599,7.01553307530002,7.05146325442701,7.14329987506753,7.09191188596673,7.07363520252118,7.09519920974351,6.88251642249517,6.88251642249517,7.09171608710464,7.03878406206631,7.08006470811182,7.13188097222362,6.88251642249517,7.01085033621719,6.88251642249517,7.03134754725511,6.88251642249517,7.10819687047203
"GSG1",7.02132754647573,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02198274911663,6.88251642249517,7.01586875958707,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.25869229435319,7.14031180333338,6.88251642249517,6.88251642249517,7.15051456541067,6.88251642249517,6.88251642249517,6.88251642249517,6.9911839884206,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01553307530002,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.98996093350711,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01085033621719,6.88251642249517,7.03134754725511,6.88251642249517,7.01290160221246
"GSTM1",6.88251642249517,6.88251642249517,8.47058257654833,6.88251642249517,6.99632200645322,7.07967494498009,9.00484684537015,6.88251642249517,6.88251642249517,7.02614332177148,6.88251642249517,6.88251642249517,8.47283781748213,8.77577074662513,6.88251642249517,6.88251642249517,6.88251642249517,9.33863532306995,9.3053221764774,6.88251642249517,6.99070910142868,9.64140261008999,9.7560947038945,9.48690685135628,8.83627415498061,6.88251642249517,7.03054120406999,7.0281973615599,8.75706033233747,9.19998557374086,9.10209771502028,9.11839586002262,8.58182083903823,8.79726503602063,9.031359532078,9.05883955888746,9.05075046366428,8.93955990493885,9.48649364375204,9.4647405439593,9.07688520585971,6.88251642249517,6.88251642249517,9.64704958266126,9.65258420349153,8.67704277075125
"GSTM5",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99632200645322,7.02198274911663,7.04999625546489,6.88251642249517,6.88251642249517,6.88251642249517,7.02770159063958,7.02973485012266,7.03141030535337,7.03225473467316,7.00822886922516,6.88251642249517,6.88251642249517,7.08001897663787,6.88251642249517,6.88251642249517,6.99070910142868,6.88251642249517,7.13990461562557,6.9911839884206,7.12932911345143,6.88251642249517,7.03054120406999,6.88251642249517,7.1127452621905,7.1748079905264,7.0955416530648,7.27340666161198,7.01770717879645,7.06674675139881,7.33062821611671,7.03443083231288,7.17811137590911,7.10340447194421,7.02225867516453,6.88251642249517,7.03232965149577,6.88251642249517,6.88251642249517,6.88251642249517,7.09960326487039,6.88251642249517
"GUCY1A2",6.88251642249517,6.88251642249517,6.88251642249517,6.99320480521288,7.04342014818346,6.88251642249517,6.88251642249517,6.88251642249517,7.13115888821541,7.08555182689731,6.88251642249517,6.88251642249517,6.88251642249517,6.98842114981722,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02355713349501,6.88251642249517,6.99070910142868,7.02770994019145,7.01133846323741,6.9911839884206,7.08411990838961,7.0254244185942,6.88251642249517,7.0281973615599,7.01553307530002,6.88251642249517,7.0955416530648,7.03064629731265,7.15260229159067,6.98893001332082,7.12622738241753,7.36093875393044,7.12400904542697,6.99304132484168,7.02225867516453,7.18773516848943,7.03232965149577,6.88251642249517,6.88251642249517,7.27524745409393,7.2578175721174,7.01290160221246
"GUCY1B1",11.549827793843,11.510853021433,7.20922697691964,10.674723103805,8.31577749546669,9.67027068038138,9.43426417808542,9.67447736485729,7.33517637189154,7.37782393519851,8.79792947171266,8.81292367627193,7.09299093066128,9.73566196874666,8.23805339250482,9.65023257314849,9.52449808519351,7.36443111270472,7.25479000344494,9.54592623570384,8.67112333425494,9.33033795143475,9.21856755017209,9.12941484692562,7.258920469039,8.1515182085714,10.5624838068049,10.5813490140941,7.32213618360701,8.99914303189148,7.38008908640756,8.98679011573245,8.4875953517636,11.2328338477447,10.2649390897325,9.45800857451182,10.1769146549143,8.41858592411399,7.16167449260361,7.25598536570838,7.39895606548783,9.94694597400637,10.005562383926,8.13253382301769,8.00387459305005,8.6123269001796
"H2BC14",7.07874942231102,6.88251642249517,7.02887546223115,6.99320480521288,7.10995102657796,7.12389163389163,7.08757902052123,7.14893732172805,7.13115888821541,7.1694158801272,7.13377298065844,7.02973485012266,7.09299093066128,7.03225473467316,7.16326374751231,7.11328319123544,7.22320935857925,7.40264570912218,7.56730066173095,7.07215575659054,6.99070910142868,7.13378740608912,7.01133846323741,7.16961776747179,7.20089251034439,7.12983858038664,7.24431188135767,6.88251642249517,7.17953125099381,7.05146325442701,7.18350717076626,7.03064629731265,7.07363520252118,7.47104722573927,6.99161092150749,7.12254823354241,7.20170284561139,7.10340447194421,7.12436843869755,7.13188097222362,7.03232965149577,7.16910296495337,7.0744892949221,6.88251642249517,7.18923532709784,7.06684626697479
"H3-2",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99632200645322,7.32201795084429,6.88251642249517,7.18027869017235,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.98842114981722,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02355713349501,6.99205727042064,6.88251642249517,6.88251642249517,7.06463787832196,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.00731504888788,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517
"H3P16",6.88251642249517,6.88251642249517,7.08941079588879,6.88251642249517,6.88251642249517,6.88251642249517,7.00097577778185,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.98842114981722,6.88251642249517,7.01584430872047,6.88251642249517,7.02222630029508,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01133846323741,6.88251642249517,7.02512955972127,6.88251642249517,6.88251642249517,7.0281973615599,7.07056386657249,6.88251642249517,7.0955416530648,6.88251642249517,6.88251642249517,7.03297389020179,6.88251642249517,6.98996093350711,7.05337705125751,7.03878406206631,7.02225867516453,6.88251642249517,6.88251642249517,7.01085033621719,7.0744892949221,6.88251642249517,7.03609233859106,6.88251642249517
"H3P31",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02614332177148,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.00822886922516,6.88251642249517,6.88251642249517,7.02222630029508,6.88251642249517,6.99205727042064,6.88251642249517,7.02770994019145,7.06463787832196,6.9911839884206,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01553307530002,7.05146325442701,6.88251642249517,6.88251642249517,6.88251642249517,6.98893001332082,6.88251642249517,6.98996093350711,7.00336841381108,6.99304132484168,7.02225867516453,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.18923532709784,7.01290160221246
"HAGLR",6.88251642249517,6.88251642249517,7.17485961463484,6.99320480521288,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.08555182689731,6.88251642249517,7.02973485012266,7.09299093066128,6.88251642249517,7.00822886922516,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01133846323741,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03064629731265,6.88251642249517,6.88251642249517,6.99161092150749,6.88251642249517,7.00336841381108,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03134754725511,6.88251642249517,7.01290160221246
"HAMP",7.07874942231102,7.08139313128756,6.88251642249517,7.03901508871227,7.07953146579704,6.88251642249517,6.88251642249517,7.01586875958707,7.08561574305141,6.88251642249517,6.88251642249517,7.02973485012266,6.88251642249517,6.98842114981722,7.10011933299782,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99205727042064,6.88251642249517,6.88251642249517,7.01133846323741,7.03615928266531,6.88251642249517,7.0254244185942,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.98893001332082,6.88251642249517,6.88251642249517,7.09171608710464,7.03878406206631,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03609233859106,6.88251642249517
"HAND2",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.30279854646605,7.45594943685193,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03615928266531,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517
"HAND2-AS1",6.88251642249517,7.02319911887061,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.36120912963406,7.34588792516262,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.9911839884206,6.88251642249517,7.0254244185942,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.09191188596673,6.88251642249517,6.98893001332082,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03609233859106,6.88251642249517
"HAPLN1",6.88251642249517,6.88251642249517,6.88251642249517,7.26492579331467,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02614332177148,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01133846323741,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.0281973615599,6.88251642249517,6.88251642249517,6.88251642249517,7.03064629731265,6.88251642249517,6.98893001332082,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517
"HAPLN3",8.32954938108976,8.37022519166969,8.65535979403782,7.76147638469004,8.16274060005093,8.82895121478122,8.65387619332439,8.78276745141876,7.97854700879732,7.9952066637815,8.97652831821681,8.81292367627193,8.63855165613582,9.23080152062308,7.50640476875009,7.88660343939766,7.87112321622075,7.96620497415463,7.87071750233652,8.1963370252248,8.08593465338501,8.34281823665286,8.55830355025886,7.66421781981558,8.30666681131271,7.432879703091,7.88803596426203,7.87270243419291,8.20563225344431,8.03493602267561,7.88479962970636,8.16533241367716,8.50613568443135,8.92499835175562,8.14658361759011,7.42726282418675,7.45843991864153,7.87599515717882,8.08954500240585,8.05395860336646,7.90983736627524,8.27460521170569,8.26072944880648,8.04221709930297,8.1372594364532,8.49746251169044
"HCG4P8",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02198274911663,6.88251642249517,7.07103809164067,7.02618857320042,7.02614332177148,6.88251642249517,6.88251642249517,6.88251642249517,7.21674385160637,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.09875003411434,6.88251642249517,6.88251642249517,7.24207984130383,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99161092150749,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01085033621719,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517
"HCK",8.03785601274022,8.16735658902666,7.29525088966737,12.2466361295281,9.5449340519417,7.19388936217783,8.53602246599795,7.14893732172805,8.17907872832347,8.05236692439991,8.51819752273301,8.72518859358369,7.32762881294228,9.90977111661664,9.02317272671813,7.3963566107715,7.26857130741924,10.0815487564102,10.1288091710408,7.65569622514983,10.9616477458897,10.1895220785286,10.2789172116878,9.30978011483315,7.37435866303592,8.90082009277529,8.92029379918879,8.89239599418227,7.34152442301343,10.2785367227017,9.09141538133023,10.2768922421985,7.6388593019149,8.1050010086714,9.21752794407444,11.3724706212188,11.9517338684118,9.48251921965799,7.5748387084738,7.53745611293101,9.16664268551007,7.45291006860237,7.40577102725884,7.98000963771831,8.06839435297686,7.86525439037954
"HEATR6-DT",7.02132754647573,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.00097577778185,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.98842114981722,7.06024451447365,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99070910142868,6.88251642249517,6.88251642249517,6.9911839884206,6.88251642249517,6.88251642249517,7.03054120406999,6.88251642249517,7.01553307530002,7.05146325442701,7.03321636310788,6.88251642249517,7.07363520252118,7.09519920974351,6.99161092150749,6.98996093350711,7.00336841381108,6.99304132484168,7.08006470811182,6.88251642249517,7.03232965149577,6.88251642249517,7.0744892949221,6.88251642249517,6.88251642249517,6.88251642249517
