"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_554_1","X_21868_1","X_35794_1","X_9487_1","X_9530_1","X_9519_1","X_3210_1","X_1608_1","X_945_1","X_928_1","X_675_1","X_649_1","X_610_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_301_1","X_9677_1","X_613_1","X_735_1","X_1496_1","X_1589_1","X_1779_1","X_9568_1","X_9631_1","X_R34914A_1","X_9945_1","X_10003_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_607_1","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1","X_523_1"
"USP32P2",4.71775678528571,4.43642469970343,4.85826607866322,4.7555496900003,4.83693633764525,4.83727805978251,4.85290879908031,4.97793219359016,4.94112062116199,5.01714509746689,5.02274575573474,4.73532388580381,4.43642469970343,4.43642469970343,4.43642469970343,4.90518466786058,4.96031242590631,4.43642469970343,4.43642469970343,4.43642469970343,4.88128087373255,5.16346022049556,4.43642469970343,4.82988465682343,4.82653314230704,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.81150865634893,4.98173350303389,4.43642469970343,4.43642469970343,4.43642469970343,5.01084965211538,4.43642469970343,4.73652213081928,4.43642469970343,5.18940417477507,4.43642469970343,4.43642469970343,4.43642469970343,4.8321089716127,4.43642469970343,4.82383861077602,4.43642469970343,4.43642469970343,4.43642469970343,4.91866488251495,4.43642469970343,4.43642469970343,4.43642469970343,4.73610939237003,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.72108529068848,4.87626643804998,4.43642469970343,4.69743327377195,4.71238723694969,4.73920849164734,4.87812520639473,4.43642469970343,4.43642469970343
"UST-AS1",4.71775678528571,4.72105744327729,4.43642469970343,4.43642469970343,4.66815427895802,4.43642469970343,4.67743739678853,4.43642469970343,4.43642469970343,4.72825134109499,4.43642469970343,4.43642469970343,4.74050165905005,4.43642469970343,4.43642469970343,4.43642469970343,4.69944573646948,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.87777448860059,4.43642469970343,4.43642469970343,4.82653314230704,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.80642545438684,4.43642469970343,4.7250565201026,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.83752007860272,5.1153136208872,4.43642469970343,4.43642469970343,4.7437705388725,5.10183183755694,4.43642469970343,4.43642469970343,4.43642469970343,4.87885272183426,4.81531371220738,4.8624887320474,4.43642469970343,4.72108529068848,4.43642469970343,4.43642469970343,4.69743327377195,4.71238723694969,4.43642469970343,4.43642469970343,4.43642469970343,5.10771808273844
"UTS2",4.43642469970343,4.43642469970343,6.7279126186479,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,7.05057430732343,7.15215659542212,4.43642469970343,4.43642469970343,6.57512478108768,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.65774403355446,4.43642469970343,4.82988465682343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.79489181351919,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.65730902259377,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.68300753626299,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.71238723694969,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343
"UTS2B",5.46858712895137,5.32391309265546,4.43642469970343,4.7555496900003,4.76378944338591,5.32169183729755,4.67743739678853,4.97793219359016,5.08581568404483,5.20086813457577,6.5183517885261,6.15447675015942,4.86566590495663,4.96026515398775,4.43642469970343,5.24143291819331,4.69944573646948,4.43642469970343,4.84207377126368,4.8237656411637,4.93330234581083,4.92939341598976,4.82707223266979,5.21625704731818,4.43642469970343,5.12693572341732,4.43642469970343,4.85330412145056,5.05417618040242,5.10381765859644,4.81150865634893,5.92154216823875,5.20808105814373,4.95827045785759,4.87691200074683,5.37847938795956,4.72713338905432,5.10273556730071,5.20965850470253,5.2759728532318,4.85858100445372,4.43642469970343,4.84610956623015,4.8321089716127,5.09675612482967,7.3482424865824,5.47718317433647,5.10671346570584,5.12677651272226,4.77820988420702,4.82133277405889,4.43642469970343,4.87026325745748,4.95365306056784,5.95454033834275,4.83673260693111,4.9198418346737,4.65828788020326,4.81531371220738,4.98515839473607,4.8260282769257,5.06890107177183,4.94366279710105,4.96363547568522,5.29073632907394,5.20889450908712,6.10979199646245,6.0409619680425,5.77398759127445,4.43642469970343
"VCAN",7.82706795969226,7.69775990875828,6.95842850711525,7.6398989634864,9.14297897738062,7.18210891414125,7.39502325234721,7.21104237227967,6.89204399950116,7.08597674928472,10.1451723961833,10.1174400089825,6.62053130162206,7.37100464032293,7.53832571989123,8.7313292187103,8.7154037746028,8.64780925506097,8.66434259330929,5.83470303884782,7.22524459363855,7.96423080750557,8.91639182281462,6.02883601622605,8.97353233808441,5.61115092810549,6.85702564961724,8.33183278268888,8.61764304303677,6.61881345630071,6.139678374284,6.18724898592528,9.00200048500541,8.92128719831475,7.66690948222746,6.88842711562394,7.44135349405817,8.63150996474176,8.75996761168791,7.01598505498619,5.60270911510599,5.59920792739678,5.24781423483755,5.59575547481347,6.71421496426757,6.15550051724189,5.93370761609581,7.54473615369085,5.4038435622173,8.20783493712447,5.7793398650377,5.96661895829299,8.60842110274627,8.14271791481917,6.92409095097784,6.5218237288327,10.0005554784282,10.2754235336088,8.25559159855531,8.19058039186517,7.4786440815836,5.93044574124379,5.78327394582381,8.50244171559688,7.3456216795725,7.45717816181362,8.63737915505571,8.63304000894962,6.96181732492072,5.37758632884326
"VDAC1P5",4.43642469970343,4.43642469970343,4.43642469970343,4.66230967858833,4.66815427895802,4.43642469970343,4.67743739678853,4.43642469970343,4.72879854267097,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.6595126925563,4.43642469970343,4.43642469970343,4.82988465682343,4.82653314230704,4.43642469970343,4.43642469970343,4.43642469970343,4.79489181351919,4.43642469970343,4.43642469970343,4.82315678400107,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.70528586591511,4.43642469970343,4.83334256902884,4.43642469970343,4.43642469970343,4.81987415110427,4.43642469970343,4.43642469970343,4.82572400324091,4.83752007860272,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.73610939237003,4.712635168776,4.83673260693111,4.74301960738593,4.81995143533555,4.92464231817073,4.78472364083332,4.43642469970343,4.43642469970343,4.69102157813117,4.74193532901226,4.43642469970343,4.43642469970343,4.43642469970343,4.7493615545922,4.70277927026603,4.43642469970343
"VNN1",4.83366300171443,4.92784385758443,4.43642469970343,4.43642469970343,4.43642469970343,5.18049316214991,4.67743739678853,5.19786652142941,4.43642469970343,4.84843234313411,4.94505697214014,4.73532388580381,5.04126560887487,4.96026515398775,4.79739270084652,4.9769197577293,5.07632632950109,4.83903699895034,4.43642469970343,4.8237656411637,4.43642469970343,4.43642469970343,4.43642469970343,4.82988465682343,4.43642469970343,5.12693572341732,4.95605365983023,5.02396577885427,4.43642469970343,4.82402243227105,4.81150865634893,4.43642469970343,4.73106020822224,4.43642469970343,4.65730902259377,4.8439367174247,4.43642469970343,4.86006837502123,5.15349529812782,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,5.11757579697253,5.49993418224239,4.43642469970343,4.43642469970343,5.10671346570584,4.83752007860272,4.43642469970343,5.09923940028127,4.83588151344031,4.43642469970343,4.43642469970343,5.20957444479548,4.83673260693111,4.81157440858161,4.93059545269067,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,5.42899370494194,5.16005701204252,4.86384704637661,5.30987865461229,5.18251760218684,4.43642469970343
"VWA2",4.43642469970343,4.43642469970343,4.43642469970343,5.03046540379333,4.66815427895802,4.72032517237783,4.77687411274482,4.43642469970343,5.73432980085257,5.70269949488887,4.85243261802769,4.43642469970343,4.74050165905005,4.65125984688721,4.43642469970343,4.7078549650352,4.43642469970343,4.43642469970343,4.43642469970343,5.20433809304422,4.6595126925563,4.81901495087604,4.98722180095718,4.43642469970343,4.82653314230704,4.43642469970343,4.43642469970343,4.43642469970343,4.94208652488822,4.82402243227105,4.81150865634893,4.43642469970343,5.09077208153185,5.25501558847669,4.9748765314517,4.8439367174247,4.43642469970343,4.43642469970343,4.85324902195592,4.43642469970343,4.43642469970343,4.43642469970343,5.42392788935383,5.39117203229667,4.43642469970343,4.43642469970343,4.86896413272205,4.98533209176738,4.43642469970343,5.1153136208872,4.43642469970343,4.83588151344031,4.87026325745748,4.85948777985385,5.20957444479548,4.43642469970343,4.81157440858161,5.09688770754746,5.05224171526567,5.0841617675624,4.43642469970343,6.48643098509425,6.28252770997486,4.74193532901226,4.43642469970343,4.71238723694969,4.73920849164734,4.7493615545922,5.38117295093038,4.91322168920301
"VWA5B1",4.43642469970343,4.43642469970343,4.73524091852036,4.66230967858833,4.66815427895802,4.83727805978251,4.43642469970343,4.43642469970343,4.72879854267097,4.43642469970343,4.85243261802769,4.73532388580381,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.72373271703732,4.43642469970343,4.43642469970343,4.43642469970343,4.82707223266979,4.82988465682343,4.43642469970343,4.43642469970343,4.43642469970343,4.85330412145056,4.43642469970343,5.20483847541226,5.08250799132909,4.43642469970343,4.43642469970343,4.80642545438684,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.70528586591511,4.43642469970343,4.83334256902884,4.43642469970343,4.43642469970343,5.09675612482967,4.43642469970343,4.43642469970343,4.98533209176738,4.43642469970343,5.02569460788878,4.43642469970343,4.43642469970343,4.7437705388725,4.43642469970343,4.43642469970343,5.00075862894125,4.43642469970343,4.87885272183426,4.74608136240848,4.78472364083332,4.66181727485139,4.72108529068848,4.43642469970343,4.74193532901226,4.69743327377195,4.43642469970343,4.73920849164734,5.19567184608598,4.70277927026603,4.43642469970343
"VWF",4.71775678528571,4.43642469970343,4.73524091852036,4.82687599782811,4.66815427895802,4.43642469970343,4.67743739678853,4.43642469970343,4.94112062116199,4.72825134109499,4.43642469970343,4.43642469970343,4.86566590495663,4.7399680756864,4.43642469970343,4.81972313562008,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.74911211782299,4.82707223266979,4.43642469970343,4.43642469970343,4.43642469970343,4.80484529845317,4.43642469970343,4.43642469970343,5.10381765859644,4.96540065369388,4.98173350303389,4.73106020822224,4.43642469970343,4.65730902259377,4.93470353698429,4.43642469970343,4.43642469970343,4.731674706654,4.43642469970343,4.43642469970343,4.99600893631095,4.84610956623015,4.8321089716127,4.81987415110427,4.98268929109321,4.86896413272205,5.10671346570584,4.43642469970343,4.91866488251495,4.43642469970343,5.22792878138786,4.87026325745748,5.03262085843968,4.9133910839263,4.83673260693111,4.74301960738593,4.43642469970343,4.74608136240848,4.68300753626299,4.88584900290168,4.43642469970343,4.87626643804998,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.81257581067408,5.10771808273844
"WASF3",4.43642469970343,4.43642469970343,4.95216463155403,4.66230967858833,5.04564619317,4.83727805978251,4.43642469970343,4.70836783190094,5.01822316432268,4.43642469970343,5.02274575573474,5.03107442953971,4.43642469970343,5.30964095371267,4.69199960060338,4.43642469970343,4.69944573646948,4.83903699895034,4.72373271703732,4.8237656411637,4.43642469970343,4.81901495087604,4.98722180095718,4.43642469970343,4.43642469970343,4.43642469970343,4.80484529845317,4.43642469970343,4.79489181351919,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.65730902259377,4.7250565201026,4.72713338905432,4.73652213081928,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.84610956623015,4.43642469970343,4.81987415110427,4.43642469970343,4.43642469970343,4.82572400324091,5.12677651272226,4.43642469970343,4.43642469970343,4.99956625371408,4.7437705388725,4.43642469970343,4.43642469970343,5.00075862894125,4.81157440858161,4.7498789838462,4.74608136240848,4.43642469970343,4.7548554369105,4.43642469970343,4.79601491404104,5.17797857629837,4.43642469970343,4.91296550863299,5.10861636293648,4.7493615545922,4.96689734985983,5.10771808273844
"WDR45P1",4.43642469970343,4.72105744327729,4.43642469970343,4.43642469970343,4.76378944338591,4.72032517237783,4.43642469970343,4.43642469970343,4.43642469970343,4.72825134109499,4.43642469970343,4.43642469970343,4.74050165905005,4.43642469970343,4.69199960060338,4.7078549650352,4.43642469970343,4.83903699895034,4.43642469970343,4.8237656411637,4.6595126925563,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.79489181351919,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.8439367174247,4.43642469970343,4.73652213081928,4.731674706654,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.81987415110427,4.43642469970343,4.86896413272205,4.82572400324091,5.00186182893476,5.02569460788878,4.82133277405889,4.43642469970343,4.43642469970343,4.73610939237003,4.712635168776,4.43642469970343,4.43642469970343,4.65828788020326,4.87351287392938,4.43642469970343,4.43642469970343,4.92789163099539,4.69102157813117,4.74193532901226,4.43642469970343,4.43642469970343,4.86384704637661,4.43642469970343,4.70277927026603,4.43642469970343
