"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BNIP3P27",0.969608420748996,-0.456396094229723,0.508238151183309,-0.897996526170095,0.369187401464082,NA
"BNIP3P28",0.0767436175732976,-0.144325194771518,3.04612468574472,-0.0473799366936396,0.96221041925864,NA
"BNIP3P29",0.285887737559529,-0.703660778582332,1.31360836224283,-0.535670142492786,0.592186542279131,NA
"BNIP3P3",0.00687167871122063,0,3.30124425294482,0,1,NA
"BNIP3P30",0.0219796702259573,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
"BNIP3P31",0,NA,NA,NA,NA,NA
"BNIP3P32",0,NA,NA,NA,NA,NA
"BNIP3P33",0,NA,NA,NA,NA,NA
"BNIP3P34",0,NA,NA,NA,NA,NA
"BNIP3P35",0,NA,NA,NA,NA,NA
"BNIP3P36",0,NA,NA,NA,NA,NA
"BNIP3P37",0.247294949394718,-0.240944077351386,1.35577222770857,-0.177717224491766,0.858945057394638,NA
"BNIP3P38",0.0434254861920471,0.291125665399519,3.30124425294482,0.0881866481523821,0.929728329201247,NA
"BNIP3P39",0.223729305481735,0.127106691578732,1.34088922501557,0.0947928353867227,0.924479377779898,NA
"BNIP3P4",0,NA,NA,NA,NA,NA
"BNIP3P40",0.28427632105639,-0.101984462580183,0.863249895172855,-0.118140138968406,0.905956619833063,NA
"BNIP3P41",0,NA,NA,NA,NA,NA
"BNIP3P42",0.217472246218206,0.267546508791118,1.21426536059294,0.220336112248539,0.825609397640449,NA
"BNIP3P5",0.982975435260428,0.0259856648037488,0.420576048202545,0.0617858884613285,0.950733341392405,NA
"BNIP3P6",0,NA,NA,NA,NA,NA
"BNIP3P7",0,NA,NA,NA,NA,NA
"BNIP3P8",0.147357532986547,0.186389774869832,2.40465222821784,0.0775121544323981,0.938216122525916,NA
"BNIP3P9",0.307753082587992,1.10833351553356,1.59106514857731,0.696598449488134,0.486054126468466,NA
"BNIP5",6.78501668229941,-0.31988818131448,0.342358893367326,-0.934365040639571,0.350115624549107,0.883210418532259
"BNIPL",8.85901605126928,0.293092391170873,0.17015392307302,1.72251327431984,0.0849765802581556,0.721430594780133
"BOC",1.46832607024552,0.97686194728133,0.471086683651897,2.07363523780513,0.0381131999971678,0.612708389032823
"BOD1",455.855921973223,-0.027021493782214,0.0504948426859545,-0.535133735345416,0.592557383686095,0.949640981082515
"BOD1L1",1713.76082264535,-0.0256577188243624,0.0481787192511274,-0.532552945017567,0.594343082397578,0.949640981082515
"BOD1L2",0.0640973846762731,0.377766582481772,3.30124425294482,0.114431575956487,0.9088956843964,NA
"BOD1P1",0.0511181357095507,0.0840315964844518,3.30124425294482,0.0254545226120402,0.979692422419591,NA
"BOD1P2",0,NA,NA,NA,NA,NA
"BOK",2.18468385847276,-0.0456540835169541,0.33075128611575,-0.138031461806552,0.890215552607036,0.989023962036033
"BOK-AS1",0.0518156622097937,0.138075680070443,3.30124425294482,0.0418253450792909,0.966637930236683,NA
"BOLA1",159.746696210251,-0.000852136515946218,0.0701510083468768,-0.0121471741608138,0.990308195624115,0.999379385505156
"BOLA2",0,NA,NA,NA,NA,NA
"BOLA2-SMG1P6",0.913249723140728,0.192215280354926,0.483115632577978,0.397865991893569,0.690728969545555,NA
"BOLA2B",6.33247030458134,0.102324343032938,0.183444416461293,0.55779480785957,0.5769845085843,0.947009326182888
"BOLA2P1",0.0226595193265992,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
