"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"JUP",752.275378682728,-1.75209030941087,0.422441994155904,-4.1475287344758,3.3608329996655e-05,0.010832901383512
"IGLV7-46",102.149919440968,6.46152181057833,1.56288660074466,4.13435101913322,3.5595907171136e-05,0.0112884955935303
"IGHJ2P",8.74839889485713,5.443920011773,1.32308415210687,4.11456822538774,3.87904818713842e-05,0.0121063246754787
"IGLV3-9",62.2475343180057,5.77264630330081,1.40596508940765,4.10582477957037,4.02874791357969e-05,0.0121866525348929
"LNCDAT",120.836866791929,3.77125137581827,0.918238968541319,4.1070478437755,4.00748243862472e-05,0.0121866525348929
"AREG",7.87750432518749,2.08252933206254,0.508478105152063,4.09561259562935,4.21053524058047e-05,0.0123563498358646
"IGKV1-16",282.205527691026,5.77123962206726,1.41127651518546,4.08937551214677,4.32536130850237e-05,0.0125066550070255
"PHYHD1",12.4777546873676,4.70630960809366,1.15441663423185,4.0767860307429,4.56624759132885e-05,0.0130118203102475
"IGHE",368.14325115288,-3.06114643988571,0.754281625831564,-4.05836008070716,4.94185284147952e-05,0.0136854521928409
"ZNF300",90.8256185048601,-2.24505649545263,0.552836784811481,-4.06097524103467,4.88681542950211e-05,0.0136854521928409
"GALNT5",6.49406016859663,3.06892330546261,0.759308984038706,4.04173185089848,5.30578855305057e-05,0.0143981922679601
"RIMS1",13.8546493919958,-2.76368451634213,0.684084501651922,-4.03997533881911,5.34568220710552e-05,0.0143981922679601
"AR",7.76002141818323,-3.30246475271931,0.820243739357259,-4.02619927987151,5.6685653356593e-05,0.0150615313013153
"HPGDS",7.37616503169778,3.25721828084223,0.809665676534231,4.0229175760355,5.74816169950259e-05,0.015069380711416
"ARHGEF4",4.32414518032648,2.53122512935836,0.635511031188043,3.98297591251313,6.80576558448407e-05,0.0173785666132631
"CAVIN2",11.60522623931,-3.19934727226775,0.805685233454262,-3.97096426671617,7.15823163106661e-05,0.0178158418139281
"NRP2",52.8908603865787,-1.75085948291543,0.440884483733606,-3.97124314307542,7.14985609494274e-05,0.0178158418139281
"IGLV9-49",21.4244072620006,4.39671607645859,1.10808995384372,3.96783317203387,7.25290755431585e-05,0.0178258335416198
"IGLV3-21",263.848090364453,4.35769553647094,1.10086053746888,3.95844467864225,7.54394090994191e-05,0.0181560272920419
"OXCT2",9.92695136983503,-1.12958531029912,0.2854247057385,-3.95755969118532,7.57193692374851e-05,0.0181560272920419
"RAVER2",11.2354227105124,2.43775281088726,0.620303391624746,3.92993629214588,8.4968371291938e-05,0.0198886680516915
"YPEL4",7.06298697388762,2.12858357522515,0.541283427083926,3.93247505598414,8.40757063138878e-05,0.0198886680516915
"NECTIN4",8.77618027442863,1.15180332757039,0.293351299093896,3.92636177555063,8.62404141294134e-05,0.0199489296777944
