"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCC5-AS1",0.548210430003484,-0.42170750015557,0.963596811582953,-0.437638953436146,0.661648028922098,NA
"ABCC6",2.43088455818196,0.12807314393363,0.412067713882679,0.3108060632241,0.755948060037871,0.983078137260821
"ABCC6P1",0.0280128953803848,0.204221238584526,3.59025218027407,0.0568821431838629,0.954639078954194,NA
"ABCC6P2",0,NA,NA,NA,NA,NA
"ABCC8",0.523762757724378,1.35399304573566,1.27632197526593,1.06085538913764,0.288755625640071,NA
"ABCC9",43.2366553205265,-0.692856731643589,1.01209303685894,-0.684578103406274,0.493610188319216,0.946652191824737
"ABCD1",132.304368221423,0.312572842028523,0.146371357526631,2.13547819266247,0.0327219696284592,0.503746774410278
"ABCD1P2",0,NA,NA,NA,NA,NA
"ABCD1P3",0,NA,NA,NA,NA,NA
"ABCD1P4",0,NA,NA,NA,NA,NA
"ABCD1P5",0,NA,NA,NA,NA,NA
"ABCD2",290.774377438054,-0.164575373534838,0.122020614762434,-1.34875056854332,0.177417096910036,0.80562932088802
"ABCD3",924.835556283093,0.00580119043994835,0.0682459507562869,0.0850041705868379,0.932258075063919,0.994967697166058
"ABCD4",555.338125051341,0.0316726768909279,0.062506300934162,0.506711746137221,0.612357087625374,0.965387377083326
"ABCE1",3382.08809224386,0.084921180841604,0.0619074765054583,1.37174353786035,0.170143289709582,0.796875528857345
"ABCF1",2803.97338598324,0.028353436809864,0.061343556145604,0.462207256823598,0.643932699739773,0.971443322831361
"ABCF2",510.386268922092,-0.0203332496110428,0.102558730267431,-0.198259568522563,0.842841983390773,0.987408689071875
"ABCF2-H2BE1",0,NA,NA,NA,NA,NA
"ABCF2P1",1.13588359933016,0.970600059473724,0.575536534346298,1.68642649345648,0.0917136821073161,0.689325083178153
"ABCF2P2",0,NA,NA,NA,NA,NA
"ABCF3",990.774081075586,0.0133667024736195,0.0539551352607625,0.247737354545011,0.804337627841057,0.985005856468478
"ABCG1",153.984533490693,0.793054138287441,0.397895152667144,1.99312339688356,0.0462479365843429,0.566281305995193
"ABCG2",3.91151621690516,-0.336815306579523,0.497303907911119,-0.677282645926282,0.498226639475075,0.948463875969491
"ABCG4",0.991882173294555,0.36046673375588,0.679510207043771,0.530480234173525,0.59577900979927,0.962746998855879
"ABCG5",0.398398469986156,-0.00550478387693442,1.02781640182135,-0.00535580466236929,0.995726706578879,NA
"ABCG8",1.32612483931422,-0.224697228588424,0.5754429709344,-0.390476971546915,0.696183880572873,0.978004175212322
"ABHD1",4.55978015807804,0.295072036544222,0.28210284569754,1.04597327196262,0.295573372781448,0.872607155499823
"ABHD10",771.029683415515,0.0640235870795207,0.0527637274873811,1.21340151896646,0.224976345867026,0.837819204879482
"ABHD11",154.756682878541,-0.0406756221493171,0.0955249399011923,-0.42581154399459,0.670245174441374,0.975725702111148
"ABHD11-AS1",3.37378719633189,-0.837882154190425,0.388843046638292,-2.15480811971375,0.031176852595379,0.495187894341921
"ABHD12",761.507095096852,-0.0647392787838188,0.050538687780948,-1.28098456106381,0.200199088995286,0.819380777775499
"ABHD12B",0.248269711920175,0.352976583953343,2.00656051846279,0.175911257450513,0.860363661101815,NA
"ABHD13",468.882813786379,0.0308969667027269,0.060559406523098,0.510192693036753,0.609916470817327,0.964730409745305
"ABHD14A",56.9623934217985,0.0908889344108539,0.117327981464271,0.774656934147733,0.438542405084449,0.932604572216279
"ABHD14A-ACY1",0.466245581553949,1.03223451419631,1.04791565234239,0.98503587754317,0.324606448225115,NA
"ABHD14B",860.809014434886,0.0585783871715261,0.0909159588708332,0.644313582555401,0.519372109677536,0.949781322634933
"ABHD15",185.480272491934,0.0618331916756452,0.127993146834692,0.48309767518651,0.62902638469829,0.968545072258774
"ABHD15-AS1",0.193429018431145,0.437596559247287,2.28983318699595,0.191104121353649,0.848444018773721,NA
"ABHD16A",32.1825879974746,0.00162275162076658,0.137829354287378,0.0117736285507302,0.990606220580247,0.998834051244585
"ABHD16B",0,NA,NA,NA,NA,NA
"ABHD17A",603.173061782128,-0.0594341336949643,0.0490521997582207,-1.21165073101546,0.225646106328866,0.838178798693987
"ABHD17AP1",1.26449849963145,-0.173491199440978,0.564207440851865,-0.30749541193401,0.758466314730927,0.983078137260821
"ABHD17AP3",0.844283760163986,-0.256639154803356,0.745828373096344,-0.344099479264788,0.730771474505924,0.983078137260821
